licenca;descr;qtde;genero;mes_ano
PPR;PILOTO PRIVADO - AVIAO;15;F;00-00
PPR;PILOTO PRIVADO - AVIAO;5;F;01-00
PPR;PILOTO PRIVADO - AVIAO;7;F;01-Jan
PPR;PILOTO PRIVADO - AVIAO;5;F;01-Feb
PPR;PILOTO PRIVADO - AVIAO;3;F;01-Mar
PPR;PILOTO PRIVADO - AVIAO;3;F;01-Apr
PPR;PILOTO PRIVADO - AVIAO;2;F;01-Jun
PPR;PILOTO PRIVADO - AVIAO;1;F;01-Jul
PPR;PILOTO PRIVADO - AVIAO;2;F;01-Aug
PPR;PILOTO PRIVADO - AVIAO;3;F;01-Sep
PPR;PILOTO PRIVADO - AVIAO;5;F;Jan-10
PPR;PILOTO PRIVADO - AVIAO;5;F;Jan-11
PPR;PILOTO PRIVADO - AVIAO;12;F;Jan-12
PPR;PILOTO PRIVADO - AVIAO;7;F;Jan-13
PPR;PILOTO PRIVADO - AVIAO;13;F;Jan-14
PPR;PILOTO PRIVADO - AVIAO;4;F;Jan-15
PPR;PILOTO PRIVADO - AVIAO;9;F;Jan-16
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-17
PPR;PILOTO PRIVADO - AVIAO;7;F;Jan-18
PPR;PILOTO PRIVADO - AVIAO;11;F;Jan-19
PPR;PILOTO PRIVADO - AVIAO;6;F;Jan-20
PPR;PILOTO PRIVADO - AVIAO;5;F;Jan-21
PPR;PILOTO PRIVADO - AVIAO;8;F;Jan-22
PPR;PILOTO PRIVADO - AVIAO;4;F;Jan-23
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-68
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-75
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-77
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-79
PPR;PILOTO PRIVADO - AVIAO;4;F;Jan-80
PPR;PILOTO PRIVADO - AVIAO;3;F;Jan-81
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-82
PPR;PILOTO PRIVADO - AVIAO;2;F;Jan-83
PPR;PILOTO PRIVADO - AVIAO;2;F;Jan-84
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-85
PPR;PILOTO PRIVADO - AVIAO;2;F;Jan-88
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-89
PPR;PILOTO PRIVADO - AVIAO;2;F;Jan-92
PPR;PILOTO PRIVADO - AVIAO;2;F;Jan-93
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-95
PPR;PILOTO PRIVADO - AVIAO;5;F;Jan-96
PPR;PILOTO PRIVADO - AVIAO;1;F;Jan-97
PPR;PILOTO PRIVADO - AVIAO;2;F;Jan-98
PPR;PILOTO PRIVADO - AVIAO;7;F;Jan-99
PPR;PILOTO PRIVADO - AVIAO;3;F;02-00
PPR;PILOTO PRIVADO - AVIAO;2;F;02-Jan
PPR;PILOTO PRIVADO - AVIAO;2;F;02-Feb
PPR;PILOTO PRIVADO - AVIAO;1;F;02-Mar
PPR;PILOTO PRIVADO - AVIAO;3;F;02-Jun
PPR;PILOTO PRIVADO - AVIAO;3;F;02-Jul
PPR;PILOTO PRIVADO - AVIAO;3;F;02-Aug
PPR;PILOTO PRIVADO - AVIAO;2;F;02-Sep
PPR;PILOTO PRIVADO - AVIAO;5;F;Feb-10
PPR;PILOTO PRIVADO - AVIAO;3;F;Feb-11
PPR;PILOTO PRIVADO - AVIAO;17;F;Feb-12
PPR;PILOTO PRIVADO - AVIAO;4;F;Feb-13
PPR;PILOTO PRIVADO - AVIAO;12;F;Feb-14
PPR;PILOTO PRIVADO - AVIAO;7;F;Feb-15
PPR;PILOTO PRIVADO - AVIAO;10;F;Feb-16
PPR;PILOTO PRIVADO - AVIAO;2;F;Feb-17
PPR;PILOTO PRIVADO - AVIAO;7;F;Feb-18
PPR;PILOTO PRIVADO - AVIAO;11;F;Feb-19
PPR;PILOTO PRIVADO - AVIAO;5;F;Feb-20
PPR;PILOTO PRIVADO - AVIAO;11;F;Feb-21
PPR;PILOTO PRIVADO - AVIAO;13;F;Feb-22
PPR;PILOTO PRIVADO - AVIAO;7;F;Feb-23
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-52
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-53
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-66
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-77
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-79
PPR;PILOTO PRIVADO - AVIAO;2;F;Feb-80
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-81
PPR;PILOTO PRIVADO - AVIAO;2;F;Feb-84
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-87
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-88
PPR;PILOTO PRIVADO - AVIAO;2;F;Feb-89
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-90
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-91
PPR;PILOTO PRIVADO - AVIAO;1;F;Feb-92
PPR;PILOTO PRIVADO - AVIAO;3;F;Feb-94
PPR;PILOTO PRIVADO - AVIAO;2;F;Feb-96
PPR;PILOTO PRIVADO - AVIAO;2;F;Feb-97
PPR;PILOTO PRIVADO - AVIAO;2;F;Feb-99
PPR;PILOTO PRIVADO - AVIAO;2;F;03-00
PPR;PILOTO PRIVADO - AVIAO;5;F;03-Mar
PPR;PILOTO PRIVADO - AVIAO;3;F;03-Apr
PPR;PILOTO PRIVADO - AVIAO;2;F;03-May
PPR;PILOTO PRIVADO - AVIAO;1;F;03-Jun
PPR;PILOTO PRIVADO - AVIAO;1;F;03-Jul
PPR;PILOTO PRIVADO - AVIAO;3;F;03-Aug
PPR;PILOTO PRIVADO - AVIAO;5;F;03-Sep
PPR;PILOTO PRIVADO - AVIAO;6;F;Mar-10
PPR;PILOTO PRIVADO - AVIAO;7;F;Mar-11
PPR;PILOTO PRIVADO - AVIAO;6;F;Mar-12
PPR;PILOTO PRIVADO - AVIAO;2;F;Mar-13
PPR;PILOTO PRIVADO - AVIAO;8;F;Mar-14
PPR;PILOTO PRIVADO - AVIAO;6;F;Mar-15
PPR;PILOTO PRIVADO - AVIAO;8;F;Mar-16
PPR;PILOTO PRIVADO - AVIAO;8;F;Mar-17
PPR;PILOTO PRIVADO - AVIAO;4;F;Mar-18
PPR;PILOTO PRIVADO - AVIAO;5;F;Mar-19
PPR;PILOTO PRIVADO - AVIAO;14;F;Mar-20
PPR;PILOTO PRIVADO - AVIAO;8;F;Mar-21
PPR;PILOTO PRIVADO - AVIAO;8;F;Mar-22
PPR;PILOTO PRIVADO - AVIAO;4;F;Mar-23
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-73
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-74
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-76
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-80
PPR;PILOTO PRIVADO - AVIAO;3;F;Mar-81
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-82
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-83
PPR;PILOTO PRIVADO - AVIAO;3;F;Mar-88
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-90
PPR;PILOTO PRIVADO - AVIAO;5;F;Mar-91
PPR;PILOTO PRIVADO - AVIAO;1;F;Mar-92
PPR;PILOTO PRIVADO - AVIAO;2;F;Mar-94
PPR;PILOTO PRIVADO - AVIAO;2;F;Mar-95
PPR;PILOTO PRIVADO - AVIAO;3;F;Mar-97
PPR;PILOTO PRIVADO - AVIAO;2;F;Mar-99
PPR;PILOTO PRIVADO - AVIAO;2;F;04-00
PPR;PILOTO PRIVADO - AVIAO;1;F;04-Feb
PPR;PILOTO PRIVADO - AVIAO;3;F;04-Mar
PPR;PILOTO PRIVADO - AVIAO;2;F;04-Jun
PPR;PILOTO PRIVADO - AVIAO;1;F;04-Jul
PPR;PILOTO PRIVADO - AVIAO;5;F;Apr-10
PPR;PILOTO PRIVADO - AVIAO;11;F;Apr-11
PPR;PILOTO PRIVADO - AVIAO;8;F;Apr-12
PPR;PILOTO PRIVADO - AVIAO;14;F;Apr-13
PPR;PILOTO PRIVADO - AVIAO;9;F;Apr-14
PPR;PILOTO PRIVADO - AVIAO;7;F;Apr-15
PPR;PILOTO PRIVADO - AVIAO;6;F;Apr-16
PPR;PILOTO PRIVADO - AVIAO;8;F;Apr-17
PPR;PILOTO PRIVADO - AVIAO;3;F;Apr-18
PPR;PILOTO PRIVADO - AVIAO;12;F;Apr-19
