indicat;time;unix;lat;lon;alt;head;speed;equip;regist;orig;dest;id_iata;id_icao;code1;code2;Distance1;Distance2
10746.0;2017-11-06 14:29:34-02:00;1509985774.0;-24.1731;-46.3737;21775.0;28.0;422.0;B737;PR-GEH;POA;GRU;G31235;GLO1235;4919E;0;433.8417913769683;44.6675574042676
8877.0;2017-10-10 04:54:43-03:00;1507622083.0;-13.2358;-38.9536;31000.0;36.0;500.0;B733;PR-SDO;GRU;REC;;SID9523;49319;0;747.8406445787551;388.5383656460414
10920.0;2017-09-21 01:30:09.443674-03:00;1505968209.4436738;-23.39381443420474;-46.52980922586182;6024.779758042887;173.27816313289898;230.77963141261307;A321;PT-MXI;REC;GRU;JJ4505;TAM4505;48809;0;1135.5907871772633;5.0
3613.0;2017-10-02 13:48:58-03:00;1506962938.0;-23.638;-46.3559;11250.0;73.0;327.0;B738;PR-GGF;CGH;SDU;G31028;GLO1028;48175;0;16.562441991115648;181.6716358904153
8928.0;2017-10-26 13:12:53-02:00;1509030773.0;-14.7632;-40.161;39000.0;33.0;497.0;A20N;PR-OBD;GRU;REC;O66324;ONE6324;49294;0;632.3886127323746;504.2319904207709
13794.0;2017-10-25 18:49:13-02:00;1508964553.0;-23.5745;-45.475;30350.0;258.0;369.0;A321;PT-MXA;SSA;GRU;JJ3989;TAM3989;480A3;0;759.6529270552335;55.64330127272026
12690.0;2017-10-28 09:08:35-02:00;1509188915.0;-23.6398;-44.7011;24025.0;256.0;371.0;B738;PR-GUC;SDU;CGH;G31009;GLO1009;485CD;3763;95.61120234686378;107.67345472956451
4895.0;2017-11-14 06:38:26-02:00;1510648706.0;-23.6243;-46.6597;0.0;45.0;0.0;A319;PT-TME;CGH;SDU;JJ3904;TAM3904;485B2;0;0.21236681544378005;197.8219059290015
256.0;2017-10-02 18:41:50-03:00;1506980510.0;-18.134;-47.2914;40575.0;173.0;467.0;B737;PR-GEH;BSB;CGH;G31457;GLO1457;4919E;0;140.71320463569248;332.0368529212868
6193.0;2017-10-26 18:15:39-02:00;1509048939.0;-23.628;-46.6566;0.0;149.0;0.0;A20N;PT-TMN;CWB;CGH;JJ3012;TAM3012;492AE;0;179.04240698343676;0.11413045667257199
11009.0;2017-09-26 22:10:29-03:00;1506474629.0;-20.5496;-42.6487;36000.0;208.0;432.0;A320;PR-OCD;REC;GRU;O66303;ONE6303;48FC2;0;871.245319447659;274.7830684106003
8042.0;2017-09-25 07:41:52.361647-03:00;1506336112.3616467;-29.982392535151668;-51.265823724207934;1189.9828477029525;128.4461612737565;155.3191766897417;A320;PR-OCB;GRU;POA;O66116;ONE6116;48FC1;0;470.05026187185985;5.0
5029.0;2017-09-24 21:58:16-03:00;1506301096.0;-23.1227;-46.9636;13150.0;197.0;293.0;E195;PR-AUJ;CNF;CGH;AD2679;AZU2679;4917E;4547;268.7781916962876;34.683000816321915
7561.0;2017-09-29 12:46:19-03:00;1506699979.0;-25.4464;-49.2677;4800.0;134.0;153.0;A321;PT-MXP;GRU;CWB;JJ3337;TAM3337;48FFA;0;194.91225666579984;7.138774246395799
11670.0;2017-09-21 16:17:15-03:00;1506021435.0;-23.8015;-46.5718;10125.0;258.0;297.0;B738;PR-GUC;SDU;CGH;G31039;GOL1039;485CD;0;195.60946984539413;11.524272308950453
9102.0;2017-11-07 21:45:17-02:00;1510098317.0;-13.0025;-39.025;37000.0;28.0;459.0;A20N;PR-YRB;GRU;REC;AD4488;AZU4488;4929C;4474;757.2360777857376;380.2873480705441
9375.0;2017-10-02 07:09:35-03:00;1506938975.0;-19.1949;-42.8714;37025.0;42.0;481.0;A320;PR-ONY;GRU;SSA;O66312;ONE6312;48FBE;0;324.98828096467594;460.140787658998
8541.0;2017-11-11 13:24:49-02:00;1510413889.0;-23.7915;-46.7809;20725.0;216.0;333.0;E195;PR-AXO;GRU;POA;AD5307;AZU5307;48DAF;0;27.298328672215924;440.7669134468175
65.0;2017-09-21 15:11:07-03:00;1506017467.0;-23.6587;-46.6385;0.0;180.0;21.0;B737;PR-GEE;BSB;CGH;G31453;GLO1453;48BEC;0;473.65005174422004;2.192558396433189
